----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 09:42:51 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'} 
{'pid': 21380, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 21456, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 21676, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 21908, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'explorer.exe'} 
{'pid': 22236, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'nvsphelper64.exe'} 
{'pid': 22240, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 22416, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'WhatsApp.exe'} 
{'pid': 22756, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Zoom.exe'} 
{'pid': 22760, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RtkAudUService64.exe'} 
{'pid': 23076, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'AMDRSServ.exe'} 
{'pid': 23244, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ArmourySocketServer.exe'} 
{'pid': 23308, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ctfmon.exe'} 
{'pid': 23360, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 23436, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 23456, 'username': None, 'name': 'svchost.exe'} 
{'pid': 23632, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'NVIDIA Share.exe'} 
{'pid': 24152, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 24224, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 24308, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'AsusOptimizationStartupTask.exe'} 
{'pid': 24320, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'StartMenuExperienceHost.exe'} 
{'pid': 24340, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 24452, 'username': None, 'name': 'atieclxx.exe'} 
{'pid': 24760, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 24768, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Widgets.exe'} 
{'pid': 25172, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'svchost.exe'} 
{'pid': 25496, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 25536, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'svchost.exe'} 
{'pid': 25864, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 26028, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'taskhostw.exe'} 
{'pid': 26052, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'HxTsr.exe'} 
{'pid': 26064, 'username': None, 'name': 'svchost.exe'} 
{'pid': 26180, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'RuntimeBroker.exe'} 
{'pid': 26316, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 26428, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 26484, 'username': None, 'name': 'winlogon.exe'} 
{'pid': 26496, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 26964, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 27268, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 27304, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ArmouryCrate.DenoiseAI.exe'} 
{'pid': 27460, 'username': None, 'name': 'svchost.exe'} 
{'pid': 27652, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 28112, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'conhost.exe'} 
{'pid': 28180, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 28192, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'Code.exe'} 
{'pid': 28212, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'brave.exe'} 
{'pid': 28632, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 28684, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'nvcontainer.exe'} 
{'pid': 28696, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'CptHost.exe'} 
{'pid': 28868, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'ACCIMonitor.exe'} 
{'pid': 28892, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedge.exe'} 
{'pid': 29052, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'msedgewebview2.exe'} 
{'pid': 29076, 'username': None, 'name': 'NVDisplay.Container.exe'} 
{'pid': 29164, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'cncmd.exe'} 
{'pid': 29384, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'chrome.exe'} 
{'pid': 29628, 'username': 'DESKTOP-593P7HM\\Harsh', 'name': 'AutoConnectHelper.exe'} 
----------------------------------------------------------------------
----------------------------------------------------------------------
Marvellous Proccess Log 
Log file created at : Sun Jun  2 09:50:34 2024
----------------------------------------------------------------------
Contents of Log File : 
----------------------------------------------------------------------
{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0} 
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4} 
{'name': '', 'username': None, 'pid': 172} 
{'name': 'Registry', 'username': None, 'pid': 212} 
{'name': 'smss.exe', 'username': None, 'pid': 668} 
{'name': 'svchost.exe', 'username': None, 'pid': 816} 
{'name': 'brave.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 964} 
{'name': 'AacAmbientLighting.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 968} 
{'name': 'csrss.exe', 'username': None, 'pid': 1104} 
{'name': 'svchost.exe', 'username': None, 'pid': 1256} 
{'name': 'wininit.exe', 'username': None, 'pid': 1264} 
{'name': 'svchost.exe', 'username': None, 'pid': 1296} 
{'name': 'services.exe', 'username': None, 'pid': 1356} 
{'name': 'LsaIso.exe', 'username': None, 'pid': 1440} 
{'name': 'lsass.exe', 'username': None, 'pid': 1468} 
{'name': 'RadeonSoftware.exe', 'username': 'DESKTOP-593P7HM\\Harsh', 'pid': 1520} 
{'name': 'svchost.exe', 'username': None, 'pid': 1640} 
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 1664} 
{'name': 'svchost.exe', 'username': None, 'pid': 1796} 
{'name': 'svchost.exe', 'username': None, 'pid': 1848} 
{'name': 'svchost.exe', 'username': None, 'pid': 2116} 
{'name': 'svchost.exe', 'username': None, 'pid': 2120} 
{'name': 'svchost.exe', 'username': None, 'pid': 2132} 
{'name': 'svchost.exe', 'username': None, 'pid': 2140} 
{'name': 'svchost.exe', 'username': None, 'pid': 2148} 
{'name': 'svchost.exe', 'username': None, 'pid': 2288} 
{'name': 'svchost.exe', 'username': None, 'pid': 2296} 
{'name': 'svchost.exe', 'username': None, 'pid': 2300} 
{'name': 'svchost.exe', 'username': None, 'pid': 2512} 
